FID_1,boro,boro_num,creat_date,dbn,edit_date,esid_no,initials,label,remarks,schooldist,shape_area,shape_leng,zoned_dist,count,AboveAverage
38,SI,5,7/26/2001,31R052,,283,DMH,52,,31,44143007.03,31818.78287,31,1985,0
39,SI,5,7/26/2001,31R046,,286,DMH,46,,31,11933487.1,16135.02036,31,1649,0
40,SI,5,7/25/2001,31R020,6/15/2010,278,JB,20,,31,10549094.28,16779.76565,31,2624,1
41,SI,5,7/26/2001,31R019,,280,DMH,19,,31,14746006.5,22077.24307,31,4145,1
42,SI,5,7/26/2001,31R030,,282,DMH,30,,31,28394670.39,29341.82287,31,2786,1
43,SI,5,7/26/2001,31R029,,285,DMH,29,,31,46283723.74,36188.25864,31,3266,1
44,SI,5,8/12/2011,31R861,3/21/2012,797,JB,861,,31,11522534.36,18538.96387,31,1368,0
45,SI,5,7/25/2001,31R023,,269,DMH,23,,31,71052437.65,45840.91164,31,1448,0
46,SI,5,7/24/2001,"31R062, 31R003",11/18/2015,898,JG,"62 (K-1), 3 (2-5)",For 2016-2017: Grades K-1 are zoned to PS 62 and Grades 2-5 are zoned to PS 3.,31,75417754.26,47573.26582,31,761,0
47,SI,5,7/24/2001,"31R062, 31R006",11/18/2015,897,JG,"62 (K-1), 6 (2-5)",For 2016-2017: Grades K-1 are zoned to PS 62 and Grades 2-5 are zoned to PS 6.,31,81382834.56,53806.49813,31,233,0
48,SI,5,7/24/2001,"31R062, 31R056",11/18/2015,899,JG,"62 (K-1), 56 (2-5)",For 2016-2017: Grades K-1 are zoned to PS 62 and Grades 2-5 are zoned to PS 56.,31,45308584.67,35267.78868,31,126,0
